SMILES,NAME,VAL
c1ccc2c(c1)CCN(C2)C(=O)CN3CCN(CC3)S(=O)(=O)c4ccccc4F,85271747,-4.5134433512
COc1ccc(cc1S(=O)(=O)N2CCCCC2)NC(=O)[C@@H]3CCCN3S(=O)(=O)c4ccccc4F,85271745,-4.15129245553
COc1ccc(cc1OC)CC(=O)NNC(=O)c2ccc(s2)Br,85271744,-4.39713538468
CCCC(c1ccccc1)C(=O)NNC(=O)c2cc(oc2C)C,85271741,-4.15306108872
COc1cc(cc(c1)OC)C(=O)NNC(=O)CCNC(=O)c2ccc(cc2)Br,85271738,-4.60040730032
Cc1cnc(s1)NC(=O)CSCc2c(noc2C)C,85271734,-4.1810796357
c1ccc(c(c1)C#N)OCC(=O)NNC(=O)CCC2CCCC2,85271733,-4.308484466
Cc1ccccc1NC(=O)Cc2nc(cs2)COC(=O)c3ccc(cc3)NC(=O)N,85271728,-4.3823373006
c1ccc(c(c1)C#N)OCC(=O)NNC(=O)CNC(=O)c2ccc(o2)Br,85271727,-3.83773922938
Cc1cccc(c1OCC(=O)NNC(=O)c2cccc(c2)S(=O)(=O)N3CCN(CC3)C(=O)C)C,85271725,-3.93151887361
Cc1ccc(cc1)S(=O)(=O)N(CC(=O)NC2CCS(=O)(=O)C2)c3ccc(cc3)C(=O)C,85271722,-4.65000385554
CN(CC(=O)Nc1ccccc1Cl)C(=O)c2ccc(c(c2)S(=O)(=O)N3CCCCCC3)Cl,85271713,-4.36314397518
CCOc1ccc(cc1)S(=O)(=O)NCCC(=O)OCC(=O)NC(=O)c2cccn2C,85271707,-4.29459214477
c1ccc(cc1)n2c(nnn2)SCC(=O)NCCCN3CCCC3=O,85271705,-3.9408756999
CC(=O)N/C(=C\c1ccccc1)/C(=O)OCC(=O)c2c(n(c(=O)n(c2=O)C)C)N,85271703,-4.34240673615
Cn1c(c(c(=O)n(c1=O)C)C(=O)COC(=O)/C=C/c2ccccc2)N,85271696,-4.47125879875
COc1ccc(cc1)CCC(=O)OCC(=O)Nc2c(ccs2)C#N,85271695,-4.1772086691
Cn1cccc1C(=O)NC(=O)COC(=O)c2ccc(c(c2)[N+](=O)[O-])S(=O)(=O)C,85271692,-4.44479931473
CCN(c1ccccc1)S(=O)(=O)c2ccc(c(c2)NC(=O)c3ccc(nc3)O)OC,85271690,-4.24709387171
CCn1c(=O)c(c(n(c1=O)Cc2ccccc2)N)C(=O)CN(C)CC(=O)Nc3cccc(c3)F,85271688,-4.47665027544
Cc1ccnc2n1nc(n2)C(=O)OCC(=O)c3ccc(cc3)NC(=O)CC(C)C,85271687,-4.24680165112
Cn1c(nnc1SCC(=O)NC(=O)Cc2ccccc2)c3ccc(cc3)F,85271685,-3.82514635773
COc1ccc(cc1)CNC(=O)CN2C(=O)C3(CCCCCCC3)NC2=O,85271681,-4.20301204767
COc1cc(cc(c1OC)OC)C(=O)NNC(=O)c2ccc3c(c2)OCCO3,85271677,-3.92460515322
CCCCOc1ccc(cc1)C(=O)NCC(=O)OCC(=O)c2c(n(c(=O)n(c2=O)C)C)N,85271673,-4.61234996752
COc1ccc2c(c1)occ2CC(=O)OCC(=O)Nc3ccc(cc3OC)OC,85271672,-4.52951946373
COc1ccc(cc1)CCNC(=O)CN2C(=O)C(NC2=O)(c3ccccc3)c4ccccc4,85271671,-4.64688814037
Cc1cc(c2ccccc2n1)C(=O)OCC(=O)NCc3ccc(cc3)OC,85271670,-4.29912072358
COc1ccc(cc1OC)NC(=O)c2cc(ccc2N3CCCCC3)[N+](=O)[O-],85271666,-4.43979913498
Cc1ccc(cc1)/C=C/C(=O)OCC(=O)c2c(n(c(=O)n(c2=O)C)C)N,85271663,-4.32011050963
c1ccc2c(c1)CCCC23C(=O)N(C(=O)N3)CC(=O)c4ccccc4F,85271662,-4.52995200878
Cc1ccc(cc1)S(=O)(=O)N2CCC[C@H]2C(=O)Nc3ccccc3Cl,85271658,-4.33794447732
Cn1c(c(c(=O)n(c1=O)C)C(=O)COC(=O)Cc2ccc(c(c2)Cl)Cl)N,85271657,-4.19235850232
CC(C)Cn1c(c(c(=O)[nH]c1=O)N(CC(C)C)C(=O)CN(C)CC(=O)Nc2cc(ccc2OC)Cl)N,85271655,-3.82698490744
CC[C@H](C)[C@@H](C(=O)OCC(=O)c1c(n(c(=O)n(c1=O)C)C)N)NC(=O)c2ccc(cc2)Cl,85271652,-4.22487921662
Cc1ccnc2n1nc(n2)C(=O)OCC(=O)N(Cc3ccccc3)C(C)C,85271648,-3.83194394367
c1cc(ccc1NC(=O)CN2C(=O)C3(CCCCC3)NC2=O)N4CCCCC4,85271647,-4.54743824151
c1cc(ccc1NC(=O)COC(=O)c2c(c(c(cn2)Cl)Cl)Cl)S(=O)(=O)N,85271639,-3.90415090533
CS(=O)(=O)c1ccc(cc1[N+](=O)[O-])C(=O)OCC(=O)NCc2cccs2,85271638,-4.39350529201
COc1cc2c(cc1OC)nc(nc2O)CN3CCN(CC3)S(=O)(=O)c4ccccc4C(F)(F)F,85271637,-4.61627390445
CC1CC1C(=O)OCC(=O)Nc2ccc(cn2)Cl,85271635,-3.98835247479
c1cc2cccc3c2c(c1)N(S3(=O)=O)CC(=O)NCc4ccc(cc4)F,85271633,-4.13091737043
CCC1(C(=O)N(C(=O)N1)CC(=O)NC2CCCC(C2C)C)c3ccc(cc3)F,85271631,-4.4698930801
Cc1ccc(o1)c2cc(c3ccccc3n2)C(=O)NCC(c4ccccc4)N(C)C,85271629,-4.10873997918
CC(=NNC(=O)c1cccc(c1)S(=O)(=O)Nc2ccc(cc2)OC)c3ccco3,85271625,-4.10856393129
CCN(C1CCCCC1)C(=O)CSc2ccc3ccccc3n2,85271623,-4.35214504951
Cc1ccc(cc1)CNC(=O)CN2C(=O)C3(CCCC3)NC2=O,85271616,-3.8593296749
CC1(C(=O)N(C(=O)N1)CC(=O)N2CC(=O)Nc3c2cccc3)c4ccccc4,85271615,-4.21244170304
c1ccc2c(c1)c(=O)n(cn2)CC(=O)OCC(=O)Nc3ccccc3OC(F)F,85271610,-4.40701022992
Cc1cc(cc(c1)N(CCC#N)C(=O)CSc2nc3ccccc3c(n2)O)C,85271608,-4.13441851447
c1cc(cc(c1)S(=O)(=O)N2CCN(CC2)c3ccc(cc3)F)C(=O)N4CCCC4,85271605,-3.82896267183
c1ccc(c(c1)C(=O)NNC(=O)c2ccc(cc2)S(=O)(=O)N3CCCC3)F,85271596,-3.85783943632
c1ccc(cc1)N2C(=O)CCC(=N2)C(=O)Nc3ccc(c(c3)S(=O)(=O)N4CCOCC4)Cl,85271594,-4.41838620378
CN(C)S(=O)(=O)c1cc(ccc1Cl)NC(=O)COC(=O)CC2C(=O)Nc3ccccc3S2,85271592,-4.61084535487
CC(C)[C@@H](C(=O)OCC(=O)N1CCN(CC1)c2ccccc2)NC(=O)c3ccc(cc3)Cl,85271589,-3.94065858925
CCOc1ccc(cc1)C(=O)N[C@@H](C(C)C)C(=O)NNC(=O)c2cccs2,85271587,-3.92022661867
Cn1c(=O)c2ccccc2nc1SCC(=O)N3CCCC3=O,85271584,-4.38098222478
CN(Cc1ccco1)C(=O)CN2C(=O)C3(CCCC3)NC2=O,85271582,-3.8512996851
CS(=O)(=O)Cc1ccc(cc1)C(=O)NNC(=O)c2cc([nH]n2)c3ccccc3,85271579,-3.99397679215
CC1CCCCC12C(=O)N(C(=O)N2)CC(=O)OCC(=O)Nc3cc(ccc3OC)C(C)(C)C,85271572,-4.08253530037
CCOc1ccc(cc1OCC)C(=O)NCC(=O)NNC(=O)c2ccco2,85271570,-3.83647899072
c1ccc(cc1)C(=O)NCC(=O)NCCCSc2ccccc2,85271569,-4.11504042825
CC(=O)Nc1ccc(cc1)NC(=O)CN2C(=O)C3(CCCCCCC3)NC2=O,85271567,-3.93291097088
COc1ccccc1CCC(=O)NNC(=O)c2cccs2,85271566,-3.85705311542
CC1(CC1(Cl)Cl)C(=O)OCC(=O)Nc2ccc(cc2)S(=O)(=O)N3CCOCC3,85271558,-3.87273064823
CC1(C(=O)N(C(=O)N1)CC(=O)c2ccc3c(c2)OCCO3)c4cccc(c4)Br,85271557,-4.55170696571
COc1ccc(c(c1)NC(=O)COC(=O)CC2CCCCC2)OC,85271552,-4.24680272402
c1cc(cc(c1)S(=O)(=O)N2CCCC2)NS(=O)(=O)c3cccs3,85271550,-3.85593891208
COc1ccccc1NS(=O)(=O)c2ccc(cc2)C(=O)N3CCN(CC3)c4ccccn4,85271548,-3.92405482916
CC1CCN(CC1)C(=O)c2cc(ccc2OC)S(=O)(=O)N3CCc4c3cccc4,85271547,-3.85561538801
Cc1ccc(cc1)S(=O)(=O)N2CCC[C@H]2C(=O)OCC(=O)N3CCc4c3cccc4,85271546,-4.59852844916
C1CCC(CC1)CCC(=O)NC2CCCCC2,85271545,-4.1553378304
COc1ccc(cc1S(=O)(=O)N2CCCCC2)NC(=O)Cn3c(=O)c4ccccc4c(n3)C(=O)O,85271544,-4.38345478677
CC(C)[C@@H](C(=O)OCC(=O)Nc1ccc(cc1)S(=O)(=O)N2CCOCC2)NC(=O)c3ccccc3Cl,85271543,-4.12548773965
c1ccc(c(c1)NS(=O)(=O)c2cccc(c2)NC(=O)C3=NNC(=O)CC3)F,85271540,-4.37138926507
Cc1ccc(cc1)NC(=O)CN(C)C(=O)COC(=O)c2ccc(cc2)NC(=O)CC#N,85271531,-4.0694562414
c1cc(cc(c1)S(=O)(=O)N2CCOCC2)NC(=O)/C=C/c3ccc(cc3)F,85271530,-4.44852678227
Cc1ccc(cc1)S(=O)(=O)NC(=Nc2ccccc2C)c3ccccc3,85271529,-3.96176763289
COc1cc(ccc1OCC=C)C=NNc2ccc(cc2[N+](=O)[O-])S(=O)(=O)Nc3ccccc3C(=O)O,85271528,-3.96706528316
COc1ccccc1NC(=O)COC(=O)C2=NN(C(=O)CC2)c3ccccc3,85271527,-3.83239728509
CCN(CC)S(=O)(=O)c1ccc(cc1)/C=C/C(=O)OCC(=O)NC(=O)C2COc3ccccc3O2,85271526,-4.37894860981
COc1ccc(cc1)NC(=NC(=NS(=O)(=O)c2ccc(cc2)Cl)c3ccccc3)S,85271524,-3.98786734675
COc1ccc(cc1S(=O)(=O)N2CCOCC2)NC(=O)Cn3ccc(n3)C(F)(F)F,85271514,-3.82755601177
Cc1ccc(c(c1)NC(=O)CN(C)C(=O)C2=NNC(=O)CC2)C,85271513,-3.89811471156
COc1cc2c(cc1OC)nc(nc2O)CN3CCN(CC3)S(=O)(=O)c4ccc(cc4)Br,85271509,-4.47086055151
CCOC(=O)/C=C\1/N(C(=O)CS1)CC(=O)Nc2cc(ccc2C)S(=O)(=O)N(C)C,85271505,-4.22665078159
